player,wins,win_pct,avg_set_diff,avg_point_diff,matches_played,unique_opponents,avg_opponent_win_pct,cluster,distance_to_centroid,cluster_description
Adam L.,10,0.4166666666666667,-0.041666666666666664,0.75,24,10,0.5186921296296296,0,1.654548055119931,Weaker performance
Beniak P.,3,0.3,-0.7,-5.5,10,6,0.5033333333333333,0,1.2598330844017274,Weaker performance
Bereza V.,4,0.2,-1.05,-3.6,20,13,0.49558963585434174,0,1.6701702734621784,Weaker performance
Bihun R.,9,0.45,-0.6,-2.85,20,5,0.488,0,1.4425177287818427,Weaker performance
Blazek J.,8,0.47058823529411764,-0.7058823529411765,-3.5294117647058822,17,10,0.4442726614399901,0,2.2389996947393875,Weaker performance
Bochkovskyi V.,16,0.36363636363636365,-0.6590909090909091,-3.477272727272727,44,7,0.5019480186593994,0,1.2396512510538635,Weaker performance
Boklah R.,8,0.23529411764705882,-1.2352941176470589,-6.911764705882353,34,9,0.4936974789915966,0,1.7444139161251075,Weaker performance
Bondarenko S.,2,0.13333333333333333,-1.4666666666666666,-5.466666666666667,15,6,0.49431951067800123,0,2.1909365276648756,Weaker performance
Braguta S.,6,0.42857142857142855,-0.5714285714285714,-0.2857142857142857,14,10,0.48363029700426546,0,1.4896791866559465,Weaker performance
Brandtl A.,8,0.34782608695652173,-1.0434782608695652,-5.130434782608695,23,7,0.6539947974730583,0,4.23300830695277,Weaker performance
Bryzhevatyi O.,4,0.36363636363636365,-0.7272727272727273,-2.5454545454545454,11,7,0.5052710166276166,0,0.8366262690143332,Weaker performance
Buberenko A.,11,0.36666666666666664,-0.3,-0.5333333333333333,30,9,0.5053068533612219,0,1.1171405470183233,Weaker performance
Buianover H.,12,0.48,0.08,-1.08,25,7,0.5082666666666666,0,1.6642254537147643,Weaker performance
Butnaru D.,8,0.36363636363636365,-0.6818181818181818,-3.909090909090909,22,9,0.4893318275926971,0,0.741367383631974,Weaker performance
Cermak J.,8,0.5,-0.375,-2.0625,16,12,0.50830095194062,0,1.4987257474582172,Weaker performance
Cherevko R.,20,0.3076923076923077,-1.1076923076923078,-4.753846153846154,65,5,0.5384615384615384,0,2.6102358328487267,Weaker performance
Chornobab V.,11,0.2894736842105263,-1.0263157894736843,-5.2368421052631575,38,6,0.522123083683234,0,1.3926728192140347,Weaker performance
Chulanov O.,6,0.2,-1.2,-7.266666666666667,30,7,0.506225173975033,0,1.8353170309855056,Weaker performance
Cizek M.,4,0.3333333333333333,-0.9166666666666666,-4.083333333333333,12,7,0.47589497920380275,0,1.380456380257003,Weaker performance
Coubal V.,7,0.35,-0.8,-5.75,20,13,0.5408754048489162,0,1.5617846048443913,Weaker performance
Crainiucov G.,6,0.3157894736842105,-0.8421052631578947,-3.736842105263158,19,7,0.5244210478371922,0,0.6880525675266991,Weaker performance
Daragan S.,11,0.3142857142857143,-0.6285714285714286,-2.4571428571428573,35,13,0.49802938124677254,0,1.3939629374535754,Weaker performance
Datsenko A.,12,0.1791044776119403,-1.3582089552238805,-5.91044776119403,67,3,0.6070394297170862,0,4.2278685344290565,Weaker performance
Dodean A.,5,0.35714285714285715,-0.5,-2.5714285714285716,14,7,0.5294317221080161,0,0.8811761023448372,Weaker performance
Drabek M.,6,0.375,-0.375,-1.25,16,8,0.4810466800356506,0,1.3061862912583178,Weaker performance
Dudka A.,3,0.15,-2.05,-10.25,20,7,0.5700000000000001,0,3.6080692419662492,Weaker performance
Evtodiy V.,6,0.375,-0.5,-2.5625,16,7,0.5073378477077152,0,0.7319744211600228,Weaker performance
Fedyna R.,16,0.32,-0.78,-3.52,50,11,0.5071229953278635,0,1.5377314967825395,Weaker performance
Gammer V.,9,0.42857142857142855,-0.42857142857142855,-0.3333333333333333,21,9,0.5081760050402211,0,1.132327826263186,Weaker performance
Gil O.,9,0.45,-0.2,-0.7,20,5,0.488,0,1.7835757422887708,Weaker performance
Gogora M.,6,0.375,-0.75,-3.4375,16,10,0.5338333711433757,0,0.7826863784540095,Weaker performance
Grubr V.,5,0.4166666666666667,-0.6666666666666666,-5.583333333333333,12,5,0.4634837962962963,0,2.032438021575337,Weaker performance
Harea V.,7,0.3181818181818182,-1.1818181818181819,-4.7272727272727275,22,9,0.5576049561960782,0,1.5527722913519892,Weaker performance
Havryliuk B.,11,0.44,-0.44,-1.68,25,12,0.5179242510797423,0,1.222694037753984,Weaker performance
Hel V.,7,0.35,-0.55,-1.5,20,5,0.508,0,1.1759984782067492,Weaker performance
Hordiichuk O.,9,0.45,-0.25,-1.35,20,7,0.5018915482928765,0,1.2634126175951692,Weaker performance
Hostiev M.,7,0.4666666666666667,-0.06666666666666667,-0.7333333333333333,15,6,0.48533333333333334,0,1.8580124598975218,Weaker performance
Hrosov D.,11,0.44,-0.48,-1.88,25,7,0.5077333333333334,0,0.9654782749105663,Weaker performance
Ishchuk V.,4,0.4,-0.2,-2.3,10,7,0.5157965367965368,0,1.1738007580464591,Weaker performance
Ivanco F.,9,0.47368421052631576,-0.3684210526315789,-1.368421052631579,19,10,0.5311151441822948,0,1.299544493393259,Weaker performance
Janco D.,2,0.13333333333333333,-1.4666666666666666,-5.8,15,7,0.5392592592592592,0,2.210396439350783,Weaker performance
Janik A.,7,0.2916666666666667,-0.7083333333333334,-4.541666666666667,24,12,0.5439522237106176,0,1.3423861739813852,Weaker performance
Karpenko O.,7,0.35,-0.75,-2.75,20,14,0.520280165546694,0,1.395682106142235,Weaker performance
Kasianyk N.,11,0.36666666666666664,-0.8333333333333334,-3.8666666666666667,30,8,0.4978980212069123,0,0.6881016062881508,Weaker performance
Khairov D.,5,0.35714285714285715,-0.8571428571428571,-4.928571428571429,14,12,0.5276387974544656,0,1.1673351101175147,Weaker performance
Khomutovskyi Y.,9,0.45,-0.5,-1.15,20,9,0.47800000000000004,0,1.4439672769530372,Weaker performance
Khorolskyi V.,9,0.36,-0.52,-1.28,25,12,0.5255330589295114,0,1.1360340214093192,Weaker performance
Klucar T.,9,0.45,-0.2,-1.3,20,8,0.4811111111111111,0,1.5247816151909688,Weaker performance
Kobets V.,10,0.29411764705882354,-0.8823529411764706,-2.5294117647058822,34,6,0.5175857071020172,0,1.0747027314913757,Weaker performance
Kodola V.,14,0.35,-0.7,-3.025,40,6,0.5179166666666666,0,1.1605218088639153,Weaker performance
Kolesnik Y.,12,0.48,-0.08,-1.6,25,9,0.48257907160476987,0,1.6422567903457197,Weaker performance
Kononikhin V.,1,0.09090909090909091,-1.5454545454545454,-5.545454545454546,11,8,0.5316547445424451,0,2.3868894586359484,Weaker performance
Kovalenko I.,6,0.4,-0.8,-4.066666666666666,15,9,0.4963703703703704,0,0.774041047736757,Weaker performance
Kovik I.,4,0.26666666666666666,-1.4666666666666666,-6.666666666666667,15,6,0.5010366343085516,0,1.8412704354409821,Weaker performance
Kovpak E.,14,0.4,-0.6,-2.914285714285714,35,13,0.5449607632526695,0,1.6191696198531038,Weaker performance
Kravets Y.,18,0.3673469387755102,-0.42857142857142855,-2.122448979591837,49,10,0.5031133038072099,0,1.5134228996840275,Weaker performance
Krupii O.,9,0.45,-0.15,-0.05,20,7,0.51,0,1.5217815987814305,Weaker performance
Kubovsky M.,4,0.4,-0.2,-2.3,10,10,0.485,0,1.3959625122272903,Weaker performance
Kucheryavyi V.,8,0.4,-0.3,-1.75,20,12,0.5496774193548387,0,1.591811864037178,Weaker performance
Kunchurov D.,10,0.47619047619047616,-0.19047619047619047,-0.8095238095238095,21,9,0.4720672766714341,0,1.8289875050071593,Weaker performance
Kurtenko A.,3,0.3,-1.1,-5.9,10,10,0.5324577572964669,0,1.37177226461571,Weaker performance
Kyi Y.,14,0.4666666666666667,-0.06666666666666667,-1.2666666666666666,30,6,0.5662605042016807,0,2.225654703059396,Weaker performance
Luder J.,8,0.2962962962962963,-0.7037037037037037,-4.074074074074074,27,18,0.5429705027608357,0,2.6065342077032074,Weaker performance
Lukianevych V.,8,0.32,-0.64,-2.64,25,7,0.5402666666666667,0,0.9748701420118628,Weaker performance
Lulovic M.,5,0.5,-0.1,-2.0,10,9,0.5245740225125533,0,1.5745423036616446,Weaker performance
Lutskyi V.,10,0.4,-0.6,-2.2,25,8,0.5146867798867799,0,0.5588001309104025,Weaker performance
Melisek M.,4,0.3333333333333333,-0.25,-0.4166666666666667,12,8,0.4665941697191697,0,1.8539029622456922,Weaker performance
Merzlikin V.,13,0.43333333333333335,-0.3,-0.6,30,8,0.516291280148423,0,1.2321240496445922,Weaker performance
Mihalachi I.,4,0.2857142857142857,-1.0714285714285714,-4.857142857142857,14,8,0.5271586656731204,0,1.0457593237836789,Weaker performance
Moshovkyi V.,7,0.4666666666666667,0.0,-0.06666666666666667,15,8,0.5046825396825397,0,1.6958474166197413,Weaker performance
Mukhin V.,5,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,15,9,0.5412642612223156,0,1.3870888372706904,Weaker performance
